FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_ENTIDAD,FECHA,L_TOTAL_E,ANIO,MES,K_GRUPO,GRUPO,ENTIDAD
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,2,15DEC2021,1971,2021,12,G008,MEGACABLE-MCM,Baja California
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,8,15DEC2021,101,2021,12,G008,MEGACABLE-MCM,Chihuahua
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,9,15DEC2021,282862,2021,12,G008,MEGACABLE-MCM,Ciudad de Mexico
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,10,15DEC2021,63,2021,12,G008,MEGACABLE-MCM,Durango
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,11,15DEC2021,1023,2021,12,G008,MEGACABLE-MCM,Guanajuato
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,12,15DEC2021,222,2021,12,G008,MEGACABLE-MCM,Guerrero
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,13,15DEC2021,202,2021,12,G008,MEGACABLE-MCM,Hidalgo
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,14,15DEC2021,1550,2021,12,G008,MEGACABLE-MCM,Jalisco
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,15,15DEC2021,12025,2021,12,G008,MEGACABLE-MCM,Mexico.
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,17,15DEC2021,265,2021,12,G008,MEGACABLE-MCM,Morelos
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,19,15DEC2021,32798,2021,12,G008,MEGACABLE-MCM,Nuevo Leon
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,20,15DEC2021,33,2021,12,G008,MEGACABLE-MCM,Oaxaca
