FOLIO,ANIO,TRIM,FECHA,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,I_FIJO_MOVIL,INGRESOS_TOTAL_E
102273,2021,4,15DEC2021,"TELECOMUNICACIONES 360, S.A. DE C.V.",C0655,OUI,C655,OUI,OMV,150537012.19
102301,2021,4,15DEC2021,"VERIZON SERVICIOS EMPRESARIALES MEXICO, S. DE R.L. DE C.V.",C0622,VERIZON SERVICIOS EMPRESARIALES MEXICO,C622,VERIZON SERVICIOS EMPRESARIALES MEXICO,Fijo,94305990.11
102992,2021,4,15DEC2021,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",C0577,TELMEX,G006,AMERICA MOVIL,Fijo,30650911357.00
103077,2021,4,15DEC2021,"BBG COMUNICACION, S.A. DE C.V.",C0700,BBG COMUNICACION,C700,BBG COMUNICACION,Fijo,7001836.00
103793,2021,4,15DEC2021,"COMBAND, S.A. DE C.V.",C0685,MVSTV,C685,MVSTV,Fijo,5357193.15
104076,2021,4,15DEC2021,"VISUALES Y COMUNICACIONES, S.A. DE C.V.",C0575,SUPERCOM,C575,SUPERCOM,OMV,4861277.95
104115,2021,4,15DEC2021,"JACE TELECOM, S.A. DE C.V.",C0269,JACE TELECOM,C269,JACE TELECOM,Fijo,772622.00
104280,2021,4,15DEC2021,"SISTEMAS ESPECIALES DE COMUNICACION, S.A.",C0504,SECSA,C504,SECSA,Fijo,597325.40
105790,2021,4,15DEC2021,"TELEVERA RED, S.A.P.I. DE C.V.",C0725,TELEVERA RED,C725,STARGROUP,Fijo,231121466.64
105822,2021,4,15DEC2021,ROBERTO ANTONIO MALDONADO GUTIERREZ,C0839,RAVS CABLE,C839,RAVS CABLE,FIJO,14043523.69
105825,2021,4,15DEC2021,"HNS DE MEXICO, S.A. DE C.V.",C0237,HNS DE MEXICO,C237,HNS DE MEXICO,Satelital,135605863.39
106095,2021,4,15DEC2021,"UC TELECOMUNICACIONES, S.A.P.I. DE C.V.",C0742,UC TELECOM,C742,UC TELECOM,Fijo,76403936.00
106223,2021,4,15DEC2021,"MAXCOM TELECOMUNICACIONES, S.A.B. DE C.V.",C0373,MAXCOM,C373,MAXCOM,Fijo y OMV,157402483.00
106232,2021,4,15DEC2021,SUCN. DE HORTENSIA TOSCANO MORA,C0641,TELECABLE DE AGUILILLA,C641,TELECABLE DE AGUILILLA,Fijo,578627.61
106254,2021,4,15DEC2021,"CABLE SORO, S.A. DE C.V.",C0378,MEGACABLE,G008,MEGACABLE-MCM,Fijo,3450326.82
106274,2021,4,15DEC2021,"HIPERCABLE DE MONCLOVA, S.A. DE C.V.",C0236,HIPERCABLE DE MONCLOVA,C236,HIPERCABLE DE MONCLOVA,Fijo,22221227.00
106279,2021,4,15DEC2021,"TELECABLE DE TEKAX, S.A. DE C.V.",C0541,TELECABLE DE TEKAX,C541,TELECABLE DE TEKAX,FIJO,1533161.70
106312,2021,4,15DEC2021,"STAR NET, S.A. DE C.V.",C0672,STAR NET,C672,STAR NET,Fijo,739470.00
106313,2021,4,15DEC2021,"TELECABLE DE XALTIANGUIS, S.A. DE C.V.",C0544,TELECABLE DE XALTIANGUIS,C544,TELECABLE DE XALTIANGUIS,Fijo,5537216.00
106470,2021,4,15DEC2021,"INTEGRACION DE SERVICIOS Y TECNOLOGIA, S.A. DE C.V.",C0002,IST,C002,IST,Fijo,18802681.00
106633,2021,4,15DEC2021,"OPENIP COMUNICACIONES, S.A. DE C.V.",C0705,TOKA MOVIL,C705,TOKA MOVIL,Fijo y OMV,1643264.20
106816,2021,4,15DEC2021,"OPERADORA TELEFONICA PENINSULAR, S.A.P.I. DE C.V.",C0803,OPERADORA TELEFONICA PENINSULAR,C803,OPERADORA TELEFONICA PENINSULAR,Fijo,2702314.00
106830,2021,4,15DEC2021,"VIRGIN MOBILE MEXICO, S. DE R.L. DE C.V.",C0629,VIRGIN MOBILE,C629,VIRGIN MOBILE,OMV,
106835,2021,4,15DEC2021,"IBO CELL, S.A.P.I. DE C.V.",C0644,BUENO CELL,C644,BUENO CELL,OMV,1726841.14
106870,2021,4,15DEC2021,"IENTC, S. DE R.L. DE C.V.",C0717,IENTC TELECOMUNICACIONES,C717,IENTC,Fijo y OMV,45302152.36
107020,2021,4,15DEC2021,OBDULIA NAVA BECERRIL,C0844,CABLEVISION DE LA HUACANA,C844,CABLEVISION DE LA HUACANA,Fijo,337948.24
107023,2021,4,15DEC2021,"TELECABLE DE CAMPECHE, S.A. DE C.V.",C0845,TELECABLE DE CAMPECHE,C845,TELECABLE DE CAMPECHE,Fijo,9158574.96
107110,2021,4,15DEC2021,"CABLEREGION, S.A. DE C.V.",C9999,OTROS,C999,OTROS,Fijo,2583653.68
107116,2021,4,15DEC2021,"TELECABLE DE VILLANUEVA, S.A. DE C.V.",C0642,TELECABLE DE VILLANUEVA,C642,TELECABLE DE VILLANUEVA,Fijo,1254920.31
107206,2021,4,15DEC2021,"KUBO CEL, S.A.P.I. DE C.V.",C0323,QBO CEL,C323,QBO CEL,OMV,
107222,2021,4,15DEC2021,"CONCABLETV, S.A. DE C.V.",C0123,CONCABLETV,C123,CONCABLETV,Fijo,560397.00
107326,2021,4,15DEC2021,"AT&T COMUNICACIONES DIGITALES, S. DE R.L. DE C.V.",C0051,AT&T,G007,AT&T,Fijo y Móvil,14680526078.00
107329,2021,4,15DEC2021,"TELECABLE DE MERIDA, S.A. DE C.V.",C0848,TELECABLE MERIDA,C848,TELECABLE MERIDA,Fijo,14895419.23
107330,2021,4,15DEC2021,"OPERADORA BAPA, S.A. DE C.V.",C0668,TVDIG,C668,TVDIG,Fijo,1404628.07
