FOLIO,ANIO,MES,FECHA,K_GRUPO,GRUPO,CONCESIONARIO,K_EMPRESA,EMPRESA,ENTIDAD,TECNO_ACCESO_TV,A_TOTAL_E
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Nuevo Leon,Direct-to-home (DTH),312993
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Oaxaca,Direct-to-home (DTH),359749
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Puebla,Direct-to-home (DTH),418270
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Queretaro,Direct-to-home (DTH),149389
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Quintana Roo,Direct-to-home (DTH),158932
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,San Luis Potosi,Direct-to-home (DTH),226624
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Sinaloa,Direct-to-home (DTH),326995
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Sonora,Direct-to-home (DTH),236361
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Tabasco,Direct-to-home (DTH),298138
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Tamaulipas,Direct-to-home (DTH),237642
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Tlaxcala,Direct-to-home (DTH),88347
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Veracruz de Ignacio de la Llave,Direct-to-home (DTH),612339
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Yucatan,Direct-to-home (DTH),112821
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Zacatecas,Direct-to-home (DTH),116520
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Sin información de Entidad,Direct-to-home (DTH),0
100772,2021,12,44545,C253,INTERCABLE DEL MAYAB,"INTERCABLE DEL MAYAB, S. DE R.L. DE C.V.",C025,INTERCABLE DEL MAYAB,Sin información de Entidad,Sin información de tecnología,1497
100823,2021,12,44545,C493,SISTEMA DE CABLE HKAN,"SISTEMA DE CABLE HKAN, S.A. DE C.V.",C049,SISTEMA DE CABLE HKAN,Sin información de Entidad,Sin información de tecnología,735
