ANIO,MES,FOLIO,FECHA,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,Participación
2021,12,106470,15DEC2021,"INTEGRACION DE SERVICIOS Y TECNOLOGIA, S.A. DE C.V.",C0002,IST,C002,IST,362642,0.015016978
2021,12,106870,15DEC2021,"IENTC, S. DE R.L. DE C.V.",C0717,IENTC,C717,IENTC,6776,0.000280594
2021,12,107110,15DEC2021,"CABLEREGION, S.A. DE C.V.",C9999,OTROS,C999,OTROS,452,1.87173E-05
2021,12,107116,15DEC2021,"TELECABLE DE VILLANUEVA, S.A. DE C.V.",C0642,TELECABLE DE VILLANUEVA,C642,TELECABLE DE VILLANUEVA,507,2.09948E-05
2021,12,107326,15DEC2021,"AT&T COMUNICACIONES DIGITALES, S. DE R.L. DE C.V.",C0051,AT&T,G007,AT&T,37603,0.001557137
2021,12,107329,15DEC2021,"TELECABLE DE MERIDA, S.A. DE C.V.",C0848,TELECABLE MERIDA,C848,TELECABLE MERIDA,2137,8.8493E-05
2021,12,107330,15DEC2021,"OPERADORA BAPA, S.A. DE C.V.",C0668,TVDIG,C668,TVDIG,847,3.50742E-05
2021,12,107341,15DEC2021,"NEXT TELEKOM, S.A.P.I. DE C.V.",C0735,NEXT TELEKOM,C735,NEXT TELEKOM,391,1.61913E-05
2021,12,501609,15DEC2021,"COMNET, S.A. DE C.V.",C0112,COMNET,C112,COMNET,6,2.4846E-07
2021,12,501909,15DEC2021,"RBA CATV, S.A. DE C.V.",C0669,RBACATV,C669,RBACATV,158,6.54277E-06
2021,12,501991,15DEC2021,"EYCO DE LOS ALTOS, S. DE R.L. DE C.V.",C0830,EYCO DE LOS ALTOS,C830,EYCO DE LOS ALTOS,121,5.0106E-06
2021,12,510327,15DEC2021,"SIERRA MADRE INTERNET, S.A. DE C.V.",C0769,SIERRA MADRE,C769,SIERRA MADRE TELECOM,426,1.76406E-05
2021,12,512007,15DEC2021,NATALIA CHAREEVA,C0851,NET LINK,C851,NET LINK,403,1.66882E-05
2021,12,512642,15DEC2021,"TELECABLE DE CUERNAVACA, S.A. DE C.V.",C0610,TELECABLE DE CUERNAVACA,C610,TELECABLE DE CUERNAVACA,718,2.97323E-05
2021,12,516798,15DEC2021,"VASANTA COMUNICACIONES, S.A.P.I. DE C.V.",C0775,VASANTA,C775,VASANTA,4197,0.000173797
2021,12,516861,15DEC2021,"INTEGRA COMUNICACIONES, S. DE R.L. DE C.V.",C0159,INTEGRA COMUNICACIONES,C159,INTEGRA COMUNICACIONES,6,2.4846E-07
2021,12,516999,15DEC2021,"MUCHOS MEGAS, S.A. DE C.V.",C0854,MUCHOS MEGAS,C854,MUCHOS MEGAS,3000,0.00012423
2021,12,517573,15DEC2021,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",C0746,ADDINTELI,C746,ADDINTELI,542,2.24442E-05
2021,12,517975,15DEC2021,"TALENTO NET, S. DE R.L. DE C.V.",C0751,NEWWW,C751,NEWWW,1924,7.96727E-05
2021,12,518861,15DEC2021,"ALESTRA SERVICIOS MOVILES, S.A. DE C.V.",C0783,ALESTRA,C020,ALESTRA,507,2.09948E-05
2021,12,519163,15DEC2021,"CONVERGENCIA Y DESARROLLO DIGITAL, S.A. DE C.V.",C0807,RED DOG,C807,RED DOG,193,7.99212E-06
